,Ammonium Ion PM2.5 LC,Chloride PM2.5 LC,EC PM2.5 LC TOR,OC PM2.5 LC TOR,PM2.5 - Local Conditions,Sulfate PM2.5 LC,Total Nitrate PM2.5 LC
2022-04-02,0.18,1.35963,0.439,2.108,12.2,0.82,2.25
2022-04-05,0.05,1.49818,0.241,1.059,8.212,0.7,0.92
2022-04-08,0.05,1.57249,0.875,2.596,14.58,1.0,1.11
2022-04-11,0.01,0.98605,0.132,0.695,5.033333333333333,0.46,0.2
2022-04-14,0.03,0.39889,0.17,1.23,6.064,0.64,0.39
2022-04-17,0.04,0.45844,0.359,1.109,5.944,0.48,0.82
2022-04-20,0.04,0.30994,0.314,2.866,9.824,0.47,0.42
2022-04-23,0.02,0.60044,0.373,1.484,7.072,0.43,0.7
2022-04-26,0.2,1.32511,0.367,1.986,12.276,1.6,0.86
2022-04-29,0.24,0.45119,0.538,2.118,8.2,1.15,0.99
2022-05-02,0.02,1.52635,0.158,0.733,6.5760000000000005,0.65,0.45
2022-05-05,0.16,0.59886,0.334,1.31,7.608333333333333,0.87,1.12
2022-05-08,0.01,1.30868,0.221,0.572,5.876,0.47,0.18
2022-05-11,0.01,0.35876,0.258,1.249,5.375,0.41,0.41
2022-05-14,0.05,0.40031,0.307,1.151,4.852,0.6,0.7
2022-05-17,0.04,1.7665,0.334,1.589,10.792,0.86,1.17
2022-05-20,0.03,2.20722,0.265,1.588,10.004,0.83,0.5
2022-05-23,0.08,2.36693,0.266,1.45,11.82,1.22,1.37
2022-05-26,0.21,0.05956,0.244,1.579,6.707999999999999,0.94,0.66
2022-05-29,0.01,1.2107,0.069,0.654,3.636,0.45,0.37
2022-06-01,0.07,1.27231,0.254,1.789,10.875,0.76,1.31
2022-06-04,0.06,0.10081,0.233,1.312,5.0,0.64,0.43
2022-06-07,0.03,0.92097,0.256,1.475,8.607999999999999,0.66,1.04
2022-06-10,0.02,0.58593,0.532,1.64,7.78,0.5,0.9
2022-06-13,0.0,1.37999,0.153,0.784,6.792000000000001,0.55,0.63
2022-06-16,0.03,0.54781,0.255,1.489,5.224,0.58,0.53
2022-06-19,0.05,0.57352,0.258,1.431,5.752000000000001,0.55,0.53
2022-06-22,0.1,0.77145,0.483,3.248,12.92,0.84,1.13
2022-06-25,0.13,1.82253,0.267,2.035,16.236,1.33,2.11
2022-06-28,0.09,0.65955,0.207,1.359,8.492,0.99,0.98
2022-07-01,0.14,0.48344,0.161,1.318,7.332000000000001,0.88,0.97
2022-07-04,0.01,0.30075,0.105,0.292,5.54,1.02,0.21
2022-07-07,0.01,0.07694,0.137,0.72,2.869565217391304,0.29,0.14
2022-07-10,0.19,0.43283,0.245,1.73,6.86,1.1,0.84
2022-07-13,0.07,0.10049,0.193,1.021,4.336,0.67,0.27
2022-07-16,0.03,0.53495,0.196,1.36,7.032,0.74,0.69
2022-07-19,0.17,0.82584,0.186,1.483,9.14,1.21,1.0
2022-07-22,0.09,0.78817,0.235,1.371,9.776,1.09,1.06
2022-07-25,0.24,0.07615,0.192,1.132,5.4079999999999995,0.86,0.62
2022-07-28,0.1,0.05675,0.196,0.922,4.396,0.53,0.48
2022-07-31,0.08,0.04413,0.161,0.772,3.3480000000000003,0.68,0.45
2022-08-03,0.26,0.12453,0.253,1.74,6.756,1.15,0.56
2022-08-06,0.1,0.3129,0.161,1.061,4.541666666666667,1.09,0.5
2022-08-09,0.06,0.17501,0.189,0.891,5.666666666666667,0.99,0.34
2022-08-13,0.04,0.51545,0.33,2.378,9.375,0.87,0.76
2022-08-15,0.14,0.68446,0.477,3.67,14.812000000000001,1.29,1.44
2022-08-18,0.36,0.07834,0.554,2.578,8.512500000000001,0.9,1.26
2022-08-21,0.17,0.24735,0.209,1.157,6.812,1.0,0.53
2022-08-24,0.07,0.15831,0.327,1.663,6.608,0.65,0.51
2022-08-27,0.08,0.31816,0.394,1.922,7.024,0.59,0.36
2022-08-30,0.53,0.28341,0.754,4.354,15.276,1.33,1.67
2022-09-02,0.43,0.31935,0.612,4.865,14.44,1.09,1.35
2022-09-05,0.05,0.31741,1.278,4.122,13.36,0.55,0.81
2022-09-08,0.12,0.90331,0.845,4.077,15.866666666666667,1.02,1.7
2022-09-11,0.16,1.21123,0.548,3.823,15.784,1.19,1.77
2022-09-14,0.16,0.22001,0.332,1.333,8.452,0.73,0.43
2022-09-17,0.02,0.52031,0.157,1.324,6.26,0.73,0.48
2022-09-20,0.0,0.29192,0.329,1.064,3.7541666666666664,0.51,0.5
2022-09-23,0.09,0.08316,0.786,3.372,8.044,0.56,0.63
2022-09-26,0.88,0.15717,0.318,1.826,9.972000000000001,1.73,2.28
2022-09-29,0.02,0.30404,0.576,1.945,8.66,0.52,0.95
2022-10-02,0.17,0.13991,0.192,1.256,5.428,0.86,0.68
2022-10-05,0.52,0.24371,0.772,2.992,13.34,1.26,2.34
2022-10-08,0.64,0.13183,0.713,2.311,10.564,1.0,2.58
2022-10-11,1.51,0.25836,0.806,3.663,19.055999999999997,1.49,5.0
2022-10-14,0.89,0.13751,0.669,2.611,11.52,1.06,3.32
2022-10-17,0.15,0.14742,0.843,2.565,8.512,0.65,1.01
2022-10-20,0.45,0.18414,1.39,5.185,14.984000000000002,0.8,1.91
2022-10-23,0.01,1.24905,0.551,1.449,4.992,0.38,0.67
2022-10-26,0.04,0.83194,0.566,1.808,6.596,0.54,0.99
2022-10-29,0.15,0.27851,1.421,3.569,10.98,0.63,1.3
2022-11-01,0.05,0.35943,0.44,2.349,6.76,0.52,0.54
2022-11-04,0.01,0.11665,0.667,1.902,5.825,0.19,0.7
2022-11-07,0.0,0.4264,0.137,0.788,1.6041666666666667,0.15,0.24
2022-11-10,0.1,0.27221,1.154,3.443,8.212,0.28,1.19
2022-11-13,0.05,0.10323,0.976,2.465,6.232,0.21,0.58
2022-11-16,0.18,0.13753,2.06,4.748,12.632,0.36,1.12
2022-11-19,0.31,0.07919,1.846,6.224,16.38,0.53,1.46
2022-11-25,1.09,0.2206,2.321,8.376,22.252,0.58,4.6
2022-12-01,0.02,0.11722,0.703,2.295,6.367999999999999,0.22,0.62
2022-12-04,0.03,0.10846,0.394,1.291,3.992,0.17,0.54
2022-12-07,0.15,0.2817,1.411,3.653,9.84,0.3,1.67
2022-12-10,0.0,0.09754,0.213,1.329,3.492,0.08,0.18
2022-12-13,0.04,0.18934,1.746,3.657,10.312000000000001,0.25,1.11
2022-12-16,1.07,0.37888,2.864,7.071,23.675,0.77,4.93
2022-12-19,3.03,0.35994,2.403,5.714,29.676,1.81,10.61
2022-12-22,2.7,0.31642,2.373,4.465,27.325,1.96,8.02
2022-12-25,1.56,0.39242,3.744,9.267,30.88,1.6,5.29
2022-12-28,0.03,0.9494,1.067,2.806,9.92,0.3,1.0
